"Código do Município";"Município";"Estado";"Ano de Referência";"Código do Prestador";"Prestador";"Sigla do Prestador";"Natureza Jurídica";"FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006)";"IN005 - Auto-suficiência financeira da prefeitura com o manejo de rsu"
260430;Cedro;PE;2016;26043040;Prefeitura Municipal de Cedro;PMC;Administração pública direta;;;
260430;Cedro;PE;2015;26043040;Prefeitura Municipal de Cedro;PMC;Administração pública direta;;;
260430;Cedro;PE;2014;26043040;Prefeitura Municipal de Cedro;PMC;Administração pública direta;;;
260430;Cedro;PE;2013;26043040;Prefeitura Municipal de Cedro;PMC;Administração pública direta;;;
260430;Cedro;PE;2012;26043040;Prefeitura Municipal de Cedro;PMC;Administração pública direta;;;
260430;Cedro;PE;2011;26043040;Prefeitura Municipal de Cedro;PMC;Administração pública direta;;;
260450;Chã Grande;PE;2017;26045040;Prefeitura Municipal de Chã Grande;PMCG;Administração pública direta;;;
260450;Chã Grande;PE;2016;26045040;Prefeitura Municipal de Chã Grande;PMCG;Administração pública direta;;;
260450;Chã Grande;PE;2015;26045040;Prefeitura Municipal de Chã Grande;PMCG;Administração pública direta;;;
260450;Chã Grande;PE;2014;26045040;Prefeitura Municipal de Chã Grande;PMCG;Sociedade de economia mista com administração pública;;;
260460;Condado;PE;2017;26046040;Prefeitura Municipal de Condado;PMC;Administração pública direta;;;
260460;Condado;PE;2016;26046040;Prefeitura Municipal de Condado;PMC;Administração pública direta;;;
260460;Condado;PE;2015;26046040;Prefeitura Municipal de Condado;PMC;Administração pública direta;;;
260460;Condado;PE;2014;26046040;Prefeitura Municipal de Condado;PMC;Administração pública direta;;;
260460;Condado;PE;2013;26046040;Prefeitura Municipal de Condado;PMC;Administração pública direta;;;
260460;Condado;PE;2012;26046040;Prefeitura Municipal de Condado;PMC;Administração pública direta;;;
260470;Correntes;PE;2014;26047040;Prefeitura Municipal de Correntes;PMC;Administração pública direta;;;
260480;Cortês;PE;2016;26048040;Prefeitura Municipal de Cortês;PE;Administração pública direta;;;
260480;Cortês;PE;2014;26048040;Prefeitura Municipal de Cortês;PE;Administração pública direta;;;
260480;Cortês;PE;2013;26048040;Prefeitura Municipal de Cortês;PE;Administração pública direta;;;
260480;Cortês;PE;2012;26048040;Prefeitura Municipal de Cortês;PE;Administração pública direta;;;
260480;Cortês;PE;2011;26048040;Prefeitura Municipal de Cortês;PE;Administração pública direta;;;
260490;Cumaru;PE;2014;26049040;Prefeitura Municipal de Cumaru;PMC;Administração pública direta;;;
260500;Cupira;PE;2017;26050040;Prefeitura Municipal de Cupira;PMC;Administração pública direta;;;
260500;Cupira;PE;2016;26050040;Prefeitura Municipal de Cupira;PMC;Administração pública direta;;;
260500;Cupira;PE;2009;26050040;Prefeitura Municipal de Cupira;PMC;Administração pública direta;;;
260510;Custódia;PE;2015;26051040;Prefeitura Municipal de Custódia;PMC;Administração pública direta;;;
260510;Custódia;PE;2014;26051040;Prefeitura Municipal de Custódia;PMC;Administração pública direta;;;
260515;Dormentes;PE;2017;26051540;SECRETARIA DE AGRICULTURA, INFRAESTRUTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE;SEAGRIMA;Administração pública direta;;;
260515;Dormentes;PE;2015;26051540;SECRETARIA DE AGRICULTURA, INFRAESTRUTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE;SEAGRIMA;Administração pública direta;;;
260515;Dormentes;PE;2014;26051540;SECRETARIA DE AGRICULTURA, INFRAESTRUTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE;SEAGRIMA;Administração pública direta;;;
260515;Dormentes;PE;2013;26051540;SECRETARIA DE AGRICULTURA, INFRAESTRUTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE;SEAGRIMA;Administração pública direta;;;
260515;Dormentes;PE;2012;26051540;SECRETARIA DE AGRICULTURA, INFRAESTRUTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE;SEAGRIMA;Empresa pública;;;
260515;Dormentes;PE;2010;26051540;SECRETARIA DE AGRICULTURA, INFRAESTRUTURA, RECURSOS HÍDRICOS E MEIO AMBIENTE;SEAGRIMA;Administração pública direta;0,00;0,00;
260520;Escada;PE;2017;26052040;Prefeitura Municipal de Escada;PME;Administração pública direta;;;
260520;Escada;PE;2015;26052040;Prefeitura Municipal de Escada;PME;Administração pública direta;;;
260530;Exu;PE;2016;26053040;Prefeitura Municipal de Exu;PME;Administração pública direta;;;
260530;Exu;PE;2014;26053040;Prefeitura Municipal de Exu;PME;Administração pública direta;;;
260540;Feira Nova;PE;2014;26054040;PREFEITURA M UNICIPAL DE FEIRA NOVA;PMFN;Administração pública direta;;;
260540;Feira Nova;PE;2013;26054040;PREFEITURA M UNICIPAL DE FEIRA NOVA;PMFN;Administração pública direta;;;
260540;Feira Nova;PE;2012;26054040;PREFEITURA M UNICIPAL DE FEIRA NOVA;PMFN;Administração pública direta;0,00;0;
260545;Fernando de Noronha;PE;2016;26054540;Autarquia Territorial Distrito Estadual de Fernando de Noronha;ATDEFN;Autarquia;;;
260545;Fernando de Noronha;PE;2009;26054540;Prefeitura Municipal;PM;Administração pública direta;0,00;0,00;
260550;Ferreiros;PE;2015;26055040;PREFEITURA MUNICIPAL DE FERREIROS;PMF;Administração pública direta;84.000,00;30,63;
260550;Ferreiros;PE;2014;26055040;PREFEITURA MUNICIPAL DE FERREIROS;PMF;Administração pública direta;84.000,00;29,40;
260550;Ferreiros;PE;2013;26055040;PREFEITURA MUNICIPAL DE FERREIROS;PMF;Administração pública direta;50.054,90;9,72;
260550;Ferreiros;PE;2012;26055040;PREFEITURA MUNICIPAL DE FERREIROS;PMF;Administração pública direta;43.526,00;10,66;
260550;Ferreiros;PE;2011;26055040;PREFEITURA MUNICIPAL DE FERREIROS;PMF;Administração pública direta;;;
260550;Ferreiros;PE;2010;26055040;PREFEITURA MUNICIPAL DE FERREIROS;PMF;Administração pública direta;6.033,41;;
260570;Floresta;PE;2017;26057040;PREFEITURA MUNICIPAL DE FLORESTA;PMF;Administração pública direta;;;
260570;Floresta;PE;2016;26057040;PREFEITURA MUNICIPAL DE FLORESTA;PMF;Administração pública direta;;;
260570;Floresta;PE;2015;26057040;PREFEITURA MUNICIPAL DE FLORESTA;PMF;Administração pública direta;;;
260570;Floresta;PE;2014;26057040;SECRETARIA DE OBRAS;PMF;Administração pública direta;;;
260570;Floresta;PE;2013;26057040;PREFEITURA MUNICIPAL DE FLORESTA;PMF;Administração pública direta;;;
260570;Floresta;PE;2012;26057040;SECRETARIA DE OBRAS;PMF;Administração pública direta;;;
260570;Floresta;PE;2010;26057040;SECRETARIA DE OBRAS;PMF;Administração pública direta;0,00;;
260570;Floresta;PE;2009;26057040;SECRETARIA DE OBRAS;PMF; ;0,00;0,00;
260600;Garanhuns;PE;2008;26060040;Prefeitura Municipal;PM;Administração pública direta;;;
260610;Glória do Goitá;PE;2012;26061040;Secretaria Municipal de Planejamento e Meio Ambiente;SEPOM;Administração pública direta;;;
260620;Goiana;PE;2015;26062040;SECRETARIA DE MANUTENÇÃO GERAL E ABASTECIMENTO;SEMANGES;Administração pública direta;164.486,66;1,68;
260620;Goiana;PE;2014;26062040;SECRETARIA DE MANUTENÇÃO GERAL E ABASTECIMENTO;SEMANGES;Administração pública direta;222.446,17;3;
260620;Goiana;PE;2013;26062040;SECRETARIA DE MANUTENÇÃO GERAL E ABASTECIMENTO;SEMANGES;Administração pública direta;141.420,94;2,27;
260620;Goiana;PE;2011;26062040;SECRETARIA DE MANUTENÇÃO GERAL E ABASTECIMENTO;SEMANGES;Administração pública direta;;;
260630;Granito;PE;2017;26063040;Prefeitura Municipal de Granito;PMG;Administração pública direta;;;
260640;Gravatá;PE;2012;26064040;SECRETARIA DE INFRAESTRUTURA;SEINFRA;Administração pública direta;;;
260640;Gravatá;PE;2011;26064040;SECRETARIA DE INFRAESTRUTURA;SEINFRA;Administração pública direta;500.817,63;;
260640;Gravatá;PE;2009;26064040;SECRETARIA DE INFRAESTRUTURA;SEINFRA;Administração pública direta;382.348,10;29,93;
260650;Iati;PE;2014;26065040;Prefeitura Municipal Iati;PM;Administração pública direta;;;
260660;Ibimirim;PE;2017;26066040;Prefeitura Municipla de Ibimirim;PMI;Administração pública direta;;;
260660;Ibimirim;PE;2016;26066040;Prefeitura Municipla de Ibimirim;PMI;Administração pública direta;;;
260660;Ibimirim;PE;2015;26066040;Prefeitura Municipla de Ibimirim;PMI;Administração pública direta;;;
260660;Ibimirim;PE;2014;26066040;Prefeitura Municipla de Ibimirim;PMI;Administração pública direta;;;
260660;Ibimirim;PE;2013;26066040;Prefeitura Municipla de Ibimirim;PMI;Empresa pública;;;
260660;Ibimirim;PE;2012;26066040;Prefeitura Municipla de Ibimirim;PMI;Administração pública direta;;;
260670;Ibirajuba;PE;2016;26067040;Prefeitura Municipal de Ibirajuba;PMI;Administração pública direta;;;
260670;Ibirajuba;PE;2015;26067040;Prefeitura Municipal de Ibirajuba;PMI;Administração pública direta;;;
260670;Ibirajuba;PE;2014;26067040;Prefeitura Municipal de Ibirajuba;PMI;Administração pública direta;;;
260670;Ibirajuba;PE;2009;26067040;Prefeitura Municipal de Ibirajuba;PMI;Administração pública direta;2.368,83;0,69;
260680;Igarassu;PE;2017;26068040;Secretaria de Serviços Públicos;SSP;Administração pública direta;;;
260680;Igarassu;PE;2016;26068040;Secretaria de Serviços Públicos;ssp;Administração pública direta;;;
260680;Igarassu;PE;2015;26068040;Secretaria de Serviços Públicos;ssp;Administração pública direta;;;
260680;Igarassu;PE;2014;26068040;Secretaria de Serviços Públicos;ssp;Administração pública direta;;;
260680;Igarassu;PE;2013;26068040;Secretaria de Serviços Públicos;ssp;Administração pública direta;;;
260680;Igarassu;PE;2012;26068040;Secretaria de Serviços Públicos;ssp;Administração pública direta;;;
260690;Iguaraci;PE;2015;26069040;PREFEITURA MUNICIPAL DE IGUARACY;PMI;Administração pública direta;254.000,00;38,28;
260690;Iguaraci;PE;2014;26069040;PREFEITURA VIAÇÃO, OBRAS E SERVIÇOS PÚBLICO;PMI;Administração pública direta;36.468,00;18,77;
260690;Iguaraci;PE;2013;26069040;PREFEITURA MUNICIPAL DE IGUARACY;PMI;Administração pública direta;4.000,00;0,99;
260690;Iguaraci;PE;2012;26069040;PREFEITURA VIAÇÃO, OBRAS E SERVIÇOS PÚBLICO;PMI;Administração pública direta;;;
260760;Ilha de Itamaracá;PE;2015;26076040;SECRETÁRIA DE INFRAESTRUTURA;SEINFRA;Empresa pública;0,00;0;
260760;Ilha de Itamaracá;PE;2014;26076040;SECRETÁRIA DE INFRAESTRUTURA;SEINFRA;Administração pública direta;0,00;0;
260760;Ilha de Itamaracá;PE;2013;26076040;SECRETÁRIA DE INFRAESTRUTURA;SEINFRA;Sociedade de economia mista com administração pública;0,00;0;
